District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha)
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500
Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000
Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400
Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000
Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400
Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500
Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2,6600
Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4,6000
Chau_Phu,10.492098,105.216926,SA,T,15-07-2022,3,5500
Chau_Phu,10.485917,105.210104,SA,T,15-07-2022,5,6000
Chau_Phu,10.469839,105.211568,SA,T,15-07-2022,4,5500
Chau_Phu,10.501829,105.273585,SA,T,15-07-2022,3.5,6500
Chau_Phu,10.548011,105.248097,SA,T,13-07-2022,2.03,5500
Chau_Phu,10.533759,105.243145,SA,T,13-07-2022,2.8,5500
Chau_Phu,10.536277,105.293087,SA,T,14-07-2022,2,6500
Chau_Phu,10.502728,105.233111,SA,T,15-07-2022,3,6400
Chau_Phu,10.524439,105.254678,SA,D,14-07-2022,4,5500
Chau_Phu,10.522871,105.184845,SA,T,14-07-2022,2.5,5500
Chau_Phu,10.461453,105.172294,SA,D,14-07-2022,2.25,5500
Chau_Phu,10.467778,105.163448,SA,D,14-07-2022,4.9,5500
Chau_Phu,10.44784,105.141425,SA,D,14-07-2022,2,6600
Chau_Phu,10.521154,105.115666,SA,D,20-07-2022,3,5500
Chau_Phu,10.48065,105.130089,SA,T,20-07-2022,2,5500
Chau_Phu,10.463816,105.133945,SA,T,20-07-2022,1.7,6500
Chau_Phu,10.501648,105.096892,SA,T,20-07-2022,1.2,6000
Chau_Phu,10.510203,105.111601,SA,T,20-07-2022,2.1,5500
Chau_Phu,10.534074,105.126326,SA,T,20-07-2022,3,6400
Chau_Phu,10.636733,105.155635,SA,T,05-08-2022,3.2,6600
Chau_Phu,10.649258,105.142121,SA,D,05-08-2022,1.75,6000
Chau_Phu,10.663484,105.168203,SA,D,05-08-2022,3,6500
Chau_Phu,10.634849,105.13078,SA,T,05-08-2022,4,6000
Chau_Phu,10.612095,105.141919,SA,T,05-08-2022,2.5,6400
Chau_Phu,10.623506,105.132794,SA,T,05-08-2022,5,6000
Chau_Phu,10.628311,105.12253,SA,T,05-08-2022,2,6500
Chau_Phu,10.619835,105.201297,SA,T,09-08-2022,1.91,5500
Chau_Phu,10.633572,105.172813,SA,D,09-08-2022,2.5,6400
Chau_Phu,10.621354,105.162316,SA,D,09-08-2022,2,6400
Chau_Phu,10.615175,105.153736,SA,D,09-08-2022,2.3,6500
Chau_Phu,10.605148,105.164514,SA,D,09-08-2022,3,5500
Chau_Phu,10.594603,105.175686,SA,D,09-08-2022,2.2,6600
Chau_Phu,10.585209,105.164803,SA,D,09-08-2022,2.3,5500
Chau_Phu,10.603991,105.147312,SA,D,09-08-2022,3.34,6000
Chau_Phu,10.612317,105.116551,SA,T,05-08-2022,1.65,5500
Chau_Phu,10.571793,105.16066,SA,T,05-08-2022,4,5500
Chau_Phu,10.565493,105.106594,SA,D,05-08-2022,3,6500
Chau_Phu,10.593644,105.075243,SA,T,05-08-2022,2,6000
Chau_Phu,10.608536,105.076041,SA,T,05-08-2022,1.3,6000
Chau_Phu,10.588345,105.091229,SA,T,05-08-2022,1.45,6000
Chau_Phu,10.59278,105.103464,SA,T,05-08-2022,1.6,6000
Chau_Phu,10.58174,105.119446,SA,T,05-08-2022,2,5500
Chau_Phu,10.571202,105.135919,SA,T,05-08-2022,1.8,6000
Chau_Phu,10.592696,105.11414,SA,T,05-08-2022,5,6000
Chau_Phu,10.590564,105.128439,SA,T,05-08-2022,5,6000
Chau_Phu,10.625462,105.098238,SA,T,05-08-2022,3.6,6500
Chau_Phu,10.619493,105.095029,SA,T,05-08-2022,2.3,6400
Chau_Phu,10.560601,105.1792,SA,T,28-07-2022,2,6400
Chau_Phu,10.565735,105.172074,SA,T,28-07-2022,2,5500
Chau_Phu,10.555822,105.1711,SA,T,28-07-2022,1.95,5500
Chau_Phu,10.542192,105.18792,SA,T,28-07-2022,1.4,6500
Chau_Phu,10.546857,105.181035,SA,T,28-07-2022,2.6,5500
Chau_Phu,10.546629,105.163964,SA,T,28-07-2022,2,6500
