name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chau Phu,2021-11-08,32,25,28.3,39.2,25,31.9,25,83.2,15.1,100,8.33,rain,,,,20.5,99.6,1008.1,58.4,11.1,115.1,9.9,4,,2021-11-08T05:51:57,2021-11-08T17:33:28,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-11-09,30,25,27.2,37.4,25,29.8,25.3,90.3,0.9,100,4.17,rain,,,,11.4,19.1,1008.9,62.4,11.2,154.9,13.5,5,,2021-11-09T05:52:15,2021-11-09T17:33:19,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999,remote"
Chau Phu,2021-11-10,31,24,27.2,39.1,24,30.1,25,88.2,0.7,100,4.17,rain,,,,13,32.3,1009,65,10.6,166.7,14.5,6,,2021-11-10T05:52:34,2021-11-10T17:33:11,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-11-11,26.1,23,24.8,26.1,23,24.8,24.1,96,12.9,100,12.5,rain,,,,13,50.7,1009.3,82.7,9.7,137.6,11.9,5,,2021-11-11T05:52:54,2021-11-11T17:33:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-11-12,31,24,27,37.7,24,29.4,24.4,86.7,0.2,100,8.33,rain,,,,25.9,68.6,1009.4,67.6,11.2,112.8,9.8,4,,2021-11-12T05:53:15,2021-11-12T17:32:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-11-13,31,24,27.2,37.7,24,29.8,24.6,86.6,33.4,100,8.33,rain,,,48.2,22.3,86,1009.5,54.5,10.6,192.8,16.7,7,,2021-11-13T05:53:36,2021-11-13T17:32:54,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-11-14,28,23,25.7,32,23,27.2,24.1,91.7,6,100,4.17,rain,,,,13,70,1010.1,65,11,162.7,14.1,6,,2021-11-14T05:53:58,2021-11-14T17:32:50,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-11-15,30.2,24,26.3,36.2,24,27.7,24.8,92.1,3.8,100,58.33,rain,,,,11.2,90.9,1008.7,54.9,11.3,197.1,17.1,8,,2021-11-15T05:54:20,2021-11-15T17:32:48,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-11-16,27.9,24,25.4,32.8,24,26.1,24.9,97.3,9,100,12.5,rain,,,,11.2,66.8,1008.8,65.6,10,115,10.1,4,,2021-11-16T05:54:43,2021-11-16T17:32:46,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-11-17,31.1,24,26.9,37.7,24,29.2,24.9,89.6,1.2,100,4.17,rain,,,,18.4,50,1009,62.5,10.9,161.9,14,6,,2021-11-17T05:55:07,2021-11-17T17:32:46,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
