name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chau Thanh,2021-11-08,32,25,28.2,39.2,25,31.6,24.9,83.6,3.2,100,83.33,rain,,,,20.5,102.3,1008,55.9,10,151.6,13.2,5,,2021-11-08T05:46:38,2021-11-08T17:29:54,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-09,30,25,27,37.4,25,29.4,25.3,91.1,5,100,100,rain,,,,23.4,30.4,1008.9,58.5,9.7,114.5,9.9,4,,2021-11-09T05:46:56,2021-11-09T17:29:46,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-11-10,31,24,27.1,39.1,24,29.9,25,89.4,4.6,100,75,rain,,,,13,37,1009,63,9.7,125.6,10.9,5,,2021-11-10T05:47:14,2021-11-10T17:29:39,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-11,26.5,23,24.6,26.5,23,24.6,24.1,96.9,15.1,100,100,rain,,,,23,47.9,1009.2,80.2,9.3,143.4,12.3,5,,2021-11-11T05:47:33,2021-11-11T17:29:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-11-12,31,24,26.9,37.7,24,29.3,24.4,87.1,14,100,100,rain,,,,25.9,71.5,1009.3,66.3,10,137.8,12.2,5,,2021-11-12T05:47:53,2021-11-12T17:29:28,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-13,31,24,27.2,37.7,24,30,24.6,86.6,8,100,100,rain,,,48.2,22.3,81,1009.5,49.3,9.9,189.6,16.4,7,,2021-11-13T05:48:13,2021-11-13T17:29:24,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-14,28,23,25.4,31.9,23,26.7,24.1,93,6.2,100,70.83,rain,,,,13,72.7,1010.1,63,10,130,11.2,5,,2021-11-14T05:48:34,2021-11-14T17:29:22,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-15,30,24,26.2,36.2,24,27.6,24.9,93.3,10.7,100,100,rain,,,,13,102.9,1008.6,50,9.9,142.9,12.3,5,,2021-11-15T05:48:55,2021-11-15T17:29:20,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-16,28,24,25.3,33.6,24,26,25,98.1,24.4,100,100,rain,,,,11.2,66.2,1008.7,62.5,9.3,132.8,11.7,5,,2021-11-16T05:49:17,2021-11-16T17:29:19,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-17,31,24,26.8,37.7,24,29.1,24.9,90.4,3.3,100,100,rain,,,,18.4,51.5,1009,59.5,9.8,100,8.6,3,,2021-11-17T05:49:40,2021-11-17T17:29:20,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-18,30,25,26.7,37.4,25,28.9,25,90.9,2.6,100,83.33,rain,,,,20.2,80.1,1008.3,60.9,9.7,145.8,12.5,5,,2021-11-18T05:50:03,2021-11-18T17:29:21,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-11-19,32,24,27,37.9,24,29.4,24.7,88.3,0,0,0,,,,,9.4,69.7,1007.2,54.6,10,120.4,10.6,4,,2021-11-19T05:50:27,2021-11-19T17:29:24,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VVCT,48912599999"
Chau Thanh,2021-11-20,32,24,26.2,39.2,24,27.9,24.9,93.3,3.1,100,75,rain,,,,13,138.8,1007.1,58.1,9.8,152.6,13.2,6,,2021-11-20T05:50:52,2021-11-20T17:29:28,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-21,31,24,27.3,37.7,24,29.9,24.3,84.7,1.5,100,58.33,rain,,,,16.6,69,1008.1,65.4,9.2,190.4,16.5,7,,2021-11-21T05:51:17,2021-11-21T17:29:32,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-11-22,31,25,27.3,37.7,25,30,25,88,4.3,100,100,rain,,,,20.5,74.8,1008.8,50.9,10,97.4,8.4,4,,2021-11-22T05:51:43,2021-11-22T17:29:38,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-11-23,32,25,27.3,39.2,25,29.8,25,88.6,7.1,100,100,rain,,,,16.6,55.2,1009,48.1,9.8,103.1,9,4,,2021-11-23T05:52:09,2021-11-23T17:29:45,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-24,31,25,27,37.7,25,29.2,25,89.5,13.3,100,100,rain,,,,26.3,61.5,1009.6,47.3,9.2,97.1,8.4,4,,2021-11-24T05:52:36,2021-11-24T17:29:53,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-11-25,30,24,26.1,36.2,24,27.7,24.5,91.7,5.7,100,100,rain,,,,7.6,50.9,1009.8,76,9.9,97.8,8.5,4,,2021-11-25T05:53:03,2021-11-25T17:30:02,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-26,30,24,26.4,34.1,24,27.7,23.4,84.6,5.9,100,100,rain,,,,20.9,17.1,1009.3,44.9,10,128.4,11,4,,2021-11-26T05:53:31,2021-11-26T17:30:12,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-11-27,27,24,25.5,29.2,24,25.9,21.8,79.9,10.3,100,100,rain,,,,22.3,7.5,1009.5,65.5,10,81.8,7.1,2,,2021-11-27T05:53:59,2021-11-27T17:30:23,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-28,28,24,25.5,31.9,24,26.3,23.5,88.9,10.5,100,100,rain,,,,22.3,9.6,1008.4,79.1,9.2,96.1,8.3,4,,2021-11-28T05:54:28,2021-11-28T17:30:35,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-11-29,28,23,25,31.9,23,25.8,24.1,95,28,100,100,rain,,,,13,8.4,1007.7,89,9.3,98.5,8.5,4,,2021-11-29T05:54:57,2021-11-29T17:30:48,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-11-30,25,24,24.4,25,24,24.4,24.4,100,12.7,100,100,rain,,,,14.8,39.3,1008.8,89.9,7.6,141.8,12.3,5,,2021-11-30T05:55:26,2021-11-30T17:31:02,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999"
Chau Thanh,2021-12-01,27,24,25.3,29.6,24,25.8,23.9,92.2,4,100,58.33,rain,,,,28.8,61.2,1010.3,87.2,9,150.2,13,6,,2021-12-01T05:55:56,2021-12-01T17:31:17,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVCT,48912599999,remote"
Chau Thanh,2021-12-02,28,22,24.8,30.1,22,25.2,21.4,82.3,0,0,0,,,,,25.2,31.5,1011.6,40.8,10,191.8,16.7,7,,2021-12-02T05:56:26,2021-12-02T17:31:32,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VVCT,48912599999,remote"
