name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thoai Son,2021-11-08,32,25,28.3,39.2,25,32.2,25,83.1,15.1,100,8.33,rain,,,,20.5,99.7,1008.1,59.2,11.4,115.1,9.9,4,,2021-11-08T05:51:27,2021-11-08T17:33:44,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-09,30.1,25,27.2,37.4,25,30,25.3,90,0.9,100,4.17,rain,,,,12,19.6,1008.9,63.3,11.6,154.9,13.5,5,,2021-11-09T05:51:45,2021-11-09T17:33:35,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-11-10,31,24,27.3,39.1,24,30.1,24.9,87.9,0.7,100,4.17,rain,,,,13,32.3,1009,65.7,10.8,166.7,14.5,6,,2021-11-10T05:52:04,2021-11-10T17:33:28,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-11,26.4,23,24.8,26.4,23,24.8,24.1,95.7,12.9,100,12.5,rain,,,,13,50.8,1009.3,83.2,9.9,137.6,11.9,5,,2021-11-11T05:52:24,2021-11-11T17:33:21,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-12,31,24,27,37.7,24,29.6,24.4,86.5,0.2,100,8.33,rain,,,,25.9,68.1,1009.4,68,11.5,112.8,9.8,4,,2021-11-12T05:52:44,2021-11-12T17:33:16,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-13,31,24,27.1,37.7,24,29.8,24.6,86.6,33.4,100,8.33,rain,,,48.2,22.3,86.8,1009.5,56.1,10.8,192.8,16.7,7,,2021-11-13T05:53:04,2021-11-13T17:33:11,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-14,28.4,23,25.7,32.6,23,27.3,24.1,91.4,6,100,4.17,rain,,,,13,69.6,1010.1,65.7,11.3,162.7,14.1,6,,2021-11-14T05:53:26,2021-11-14T17:33:08,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-15,30.3,24,26.3,36.3,24,27.8,24.8,91.8,3.8,100,58.33,rain,,,,11.2,88.7,1008.7,56.5,11.7,197.1,17.1,8,,2021-11-15T05:53:48,2021-11-15T17:33:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-16,27.8,24,25.4,32.5,24,26.1,24.9,97.1,9,100,12.5,rain,,,,11.2,66.9,1008.8,66.6,10.2,115,10.1,4,,2021-11-16T05:54:10,2021-11-16T17:33:05,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-17,31.1,24,26.9,37.7,24,29.2,24.8,89.4,1.2,100,4.17,rain,,,,18.4,49.7,1009,63.5,11.2,161.9,14,6,,2021-11-17T05:54:34,2021-11-17T17:33:05,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-18,30,25,26.8,37.4,25,29,25,90.5,0.1,100,4.17,rain,,,,18.4,78.8,1008.3,64.4,11.3,194.8,16.9,7,,2021-11-18T05:54:58,2021-11-18T17:33:06,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-11-19,32,24,27.2,38.3,24,29.9,24.7,87.2,0.3,100,12.5,rain,,,,9.1,77.9,1007.3,59.8,11.5,171.5,15,6,,2021-11-19T05:55:22,2021-11-19T17:33:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-20,32,24,26.4,39.2,24,28.1,24.9,92,16.1,100,8.33,rain,,,,13,215.3,1007.3,63.1,10.4,135.9,11.8,4,,2021-11-20T05:55:47,2021-11-20T17:33:11,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-21,31.3,24,27.5,37.7,24,30.1,24.2,83.4,0.4,100,4.17,rain,,,,14.8,67.9,1008.2,68.6,10.7,166.6,14.5,7,,2021-11-21T05:56:13,2021-11-21T17:33:16,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-11-22,31,25,27.4,37.7,25,30.2,24.9,86.9,32.2,100,4.17,rain,,,,20.5,75.7,1008.8,55.7,11.3,107.6,9.3,4,,2021-11-22T05:56:39,2021-11-22T17:33:21,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-23,32,24.8,27.3,39.2,24.8,29.8,25,88,7.6,100,66.67,rain,,,,16.6,52.7,1008.9,54.5,10.7,101,8.8,3,,2021-11-23T05:57:05,2021-11-23T17:33:28,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-24,31.1,25,27,36.6,25,29.1,24.8,88.7,0.2,100,4.17,rain,,,,9.1,57.4,1009.6,54.7,10.5,133.8,11.7,5,,2021-11-24T05:57:33,2021-11-24T17:33:35,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-11-25,30,24,26.4,36.2,24,27.9,24.5,90.1,26,100,4.17,rain,,,,12.2,42.2,1009.7,78.1,11.2,152.2,13.3,7,,2021-11-25T05:58:00,2021-11-25T17:33:44,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-26,30.1,24,26.7,33.9,24,28.3,23.2,82.3,0,0,0,,,,,12.9,6.7,1009.4,50,11.9,183.6,15.7,8,,2021-11-26T05:58:28,2021-11-26T17:33:53,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-27,27.8,24,25.7,30.2,24,26.2,21.7,79,0.8,100,29.17,rain,,,,21.9,12.4,1009.5,68.7,11.7,110.5,9.5,4,,2021-11-27T05:58:57,2021-11-27T17:34:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-28,28.9,24,25.7,32.7,24,26.7,23.2,86.4,1.4,100,33.33,rain,,,,28.1,3.2,1008.5,79.6,11.1,167.6,14.4,8,,2021-11-28T05:59:26,2021-11-28T17:34:15,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-11-29,28,23,25.1,31.9,23,25.8,24,94,1,100,8.33,rain,,,,13.9,6.5,1007.9,89.8,10.3,105.4,9,4,,2021-11-29T05:59:55,2021-11-29T17:34:28,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-11-30,25.3,24,24.5,25.3,24,24.5,24.3,99.1,19,100,12.5,rain,,,,14.8,40.2,1008.8,90.3,8.8,127.2,11,5,,2021-11-30T06:00:25,2021-11-30T17:34:42,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-01,27.3,24,25.3,30.2,24,25.7,23.6,91,0.1,100,4.17,rain,,,,15.1,34.5,1010.4,87.7,11.4,186,16.1,7,,2021-12-01T06:00:55,2021-12-01T17:34:56,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48907099999,VVCT,48912599999,remote"
