time,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),red,green,blue,rededge1,rededge2,rededge3,nir,swir
2022-07-14,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,3697.5583,4125.3755,4311.1367,4423.822,5134.4043,5401.9062,5447.0576,3092.398
2022-07-09,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2535.528,2872.9207,2733.4702,3232.93,4738.1465,5680.2427,5568.9375,3415.5474
2022-07-04,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,5604.6904,6029.8745,6301.8945,6369.7524,6811.8735,7004.7583,7032.0815,4554.75
2022-06-29,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,4103.874,4518.965,4753.9854,4811.3057,5445.871,5866.548,5752.5137,2772.2336
2022-06-24,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2024.7788,2268.79,2120.6506,2554.3374,4132.5654,4946.5303,4746.7437,3126.5134
2022-06-19,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,4874.4854,5333.985,5491.1904,5486.8105,6810.54,7884.5903,7414.2485,4711.2085
2022-06-14,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,3452.893,3923.4023,4028.832,4039.3738,5930.1685,7030.4175,6847.52,4213.589
2022-06-09,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1410.9888,1595.6122,1354.2742,1912.5758,3555.1902,4521.0083,4409.292,2798.7856
2022-06-04,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1373.2848,1623.3176,1324.0154,1988.8866,3888.978,4765.602,4641.737,2836.8054
2022-05-30,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,4541.0264,4915.631,5152.0195,5149.481,5973.7607,6596.7583,6322.3135,4598.616
2022-05-25,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1502.8584,1756.5416,1402.5626,2139.8716,3832.9746,4483.318,4333.037,3039.698
2022-05-20,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1776.9664,1998.5494,1783.1632,2260.6008,3471.0854,4063.7585,3893.3208,2959.2168
2022-05-15,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1514.339,1755.563,1448.2936,2116.8193,3248.3726,3556.9236,3413.2231,2699.9749
2022-05-10,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,7469.115,8153.8447,9146.277,7997.4863,7582.3496,7444.2095,7435.515,3196.7717
2022-04-30,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,5761.276,6084.148,6454.3193,6273.3193,6226.4033,6421.2773,5910.3096,4888.1587
2022-04-25,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2132.0867,2068.7368,1961.9508,2412.149,2457.003,2553.0708,2492.779,2324.4734
2022-04-20,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2500.8499,2456.7874,2440.0325,2687.4014,2585.2695,2697.4373,2577.2043,2158.4348
2022-04-15,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,9964.751,10537.862,11751.168,10212.889,9302.497,8990.704,8719.106,6524.2188
2022-04-10,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2671.675,2620.813,2645.3967,2913.9062,2918.3298,3041.3303,2959.6646,2966.6973
2022-04-05,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2228.0645,2133.6914,1752.8566,2950.888,3605.4333,3901.7412,3847.7131,3357.5144
2022-03-31,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,3199.7283,3390.0667,3191.647,4035.352,4878.0435,5385.6343,5287.7104,4199.0757
2022-03-26,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,3833.5918,4057.3794,4078.198,4538.723,5063.2407,5235.737,5347.757,4506.2646
2022-03-21,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,2677.1855,2882.2112,2767.3276,3279.1907,4051.4568,4506.177,4315.693,3261.0486
2022-03-16,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,7871.6343,8857.019,10181.521,8093.9,7969.0947,7977.091,7854.327,5829.907
2022-07-14,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,2513.462,2737.322,2587.7092,3199.327,4207.986,4630.04,4608.6865,2804.0989
2022-07-09,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1929.4146,2130.1155,1867.579,2618.7612,3935.0195,4697.6885,4583.04,3030.9185
2022-07-04,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,5880.493,6369.835,6689.92,6599.975,6980.9316,7105.5024,7215.6216,4524.1304
2022-06-29,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,5032.326,5567.1406,5967.519,5842.494,6304.8223,6557.5493,6535.0903,2995.6848
2022-06-24,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1443.0092,1664.454,1441.2101,1970.1749,3576.6523,4320.1113,4183.6035,2476.6323
2022-06-19,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,10671.97,11656.483,12790.589,11304.478,10860.211,10802.559,10616.085,6916.0474
2022-06-14,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1741.9614,2051.678,1802.7639,2409.5732,4489.6577,5500.7256,5367.123,3060.8955
2022-06-09,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1400.8242,1598.7522,1333.0073,1919.553,3433.0068,4203.934,4105.5483,2607.115
2022-06-04,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,2911.454,3272.6396,3149.141,3477.302,5039.9478,5705.92,5422.109,4022.159
2022-05-30,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,4226.9253,4609.1934,4822.5884,4825.856,5759.964,6410.123,6150.9824,4455.5947
2022-05-25,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1405.3463,1694.8198,1322.7991,2051.131,3713.8164,4291.515,4154.214,2933.115
2022-05-20,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1905.8164,2125.4146,1907.9514,2466.6853,3695.3389,4280.4624,4008.1692,3079.3455
2022-05-15,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,1548.2313,1719.221,1532.5803,1950.7583,2672.7942,2889.5596,2731.4402,2373.4402
2022-05-10,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,9733.652,10439.41,11568.732,10587.536,9770.33,9320.022,9213.395,3049.033
2022-04-30,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,4858.875,5152.3438,5435.613,5300.252,5448.993,5720.075,5287.993,4479.361
2022-04-25,Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,3252.8186,3382.8308,3364.3135,3670.712,4030.7734,4164.033,4051.1953,3844.3333
