time,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),red,green,blue,rededge1,rededge2,rededge3,nir,swir
2022-07-14,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-07-09,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-07-04,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-06-29,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-06-24,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1667.6349,1939.2091,1730.538,2269.1619,4255.2886,5281.42,5101.1533,2992.366
2022-06-19,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1825.7699,2169.4126,2004.7659,2445.8015,4853.976,6629.405,6485.222,3314.262
2022-06-14,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-06-09,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1410.9888,1595.6122,1354.2742,1912.5758,3555.1902,4521.0083,4409.292,2798.7856
2022-06-04,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1373.2848,1623.3176,1324.0154,1988.8866,3888.978,4765.602,4641.737,2836.8054
2022-05-30,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-05-25,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1502.8584,1756.5416,1402.5626,2139.8716,3832.9746,4483.318,4333.037,3039.698
2022-05-20,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1771.3339,1992.8784,1777.6226,2250.869,3458.6807,4052.7024,3883.091,2950.484
2022-05-15,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,1515.9371,1759.6006,1449.3453,2123.7178,3272.4475,3585.4407,3441.4602,2721.996
2022-05-10,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
2022-04-30,Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,,,,,,,,
