District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),date,red,green,blue,rededge1,rededge2,rededge3,nir,swir
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,14-07-2022,3707.568603515625,4139.4052734375,4338.94140625,4399.7744140625,5063.2939453125,5313.82666015625,5366.33984375,3044.8203125
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,09-07-2022,1954.6470947265625,2239.111083984375,1972.908447265625,2674.836669921875,4337.31689453125,5363.189453125,5192.71240234375,3009.568603515625
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,04-07-2022,5195.34619140625,5569.20263671875,5768.0263671875,5971.24169921875,6526.99365234375,6799.48681640625,6684.9541015625,4360.7646484375
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,29-06-2022,3937.790771484375,4316.66015625,4571.54248046875,4673.4443359375,5374.5947265625,5831.33984375,5627.41162109375,2736.535888671875
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,24-06-2022,1723.2156982421875,1970.0816650390625,1815.3104248046875,2227.4345703125,3854.98681640625,4699.708984375,4568.50341796875,2832.526123046875
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,19-06-2022,3174.483642578125,3656.56201171875,3780.0849609375,3706.346435546875,5291.57177734375,6442.8662109375,6205.6796875,3767.8203125
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,14-06-2022,2183.6044921875,2566.7353515625,2433.088134765625,2842.169921875,5040.6142578125,6246.65380859375,6131.39892578125,3512.04248046875
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,09-06-2022,1436.5882568359375,1605.30712890625,1367.8922119140625,1925.1209716796875,3413.879150390625,4263.29736328125,4159.99365234375,2770.898681640625
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,04-06-2022,1413.33984375,1638.30712890625,1341.0816650390625,2019.7745361328125,3632.51953125,4312.9736328125,4213.0,2791.03271484375
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,30-05-2022,4636.73193359375,4941.13720703125,5050.79736328125,5281.5751953125,6109.68603515625,6733.611328125,6325.490234375,4706.0654296875
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,25-05-2022,1523.228759765625,1776.9542236328125,1414.7156982421875,2175.728759765625,3802.529296875,4407.11767578125,4257.48388671875,3039.47705078125
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,20-05-2022,1770.6666259765625,2020.2091064453125,1787.601318359375,2285.186279296875,3575.535888671875,4203.970703125,3986.993408203125,3022.330078125
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,15-05-2022,1534.1241455078125,1808.398681640625,1468.22216796875,2186.12744140625,3383.60791015625,3680.830078125,3524.156982421875,2876.869384765625
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,10-05-2022,7056.43115234375,7746.7841796875,8768.8623046875,7519.9609375,7183.330078125,7113.86279296875,7134.1044921875,3141.970703125
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,30-04-2022,5705.90869140625,6029.529296875,6402.640625,6215.791015625,6170.49365234375,6368.48388671875,5875.73876953125,4877.6337890625
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,25-04-2022,2226.830078125,2174.431396484375,2075.9443359375,2521.5,2599.38232421875,2697.833251953125,2638.026123046875,2524.634033203125
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,20-04-2022,2209.81689453125,2165.8955078125,2144.5849609375,2383.388916015625,2351.31689453125,2470.496826171875,2375.705810546875,1888.72216796875
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,15-04-2022,9914.130859375,10420.6533203125,11578.30078125,10192.9638671875,9326.8984375,9067.669921875,8577.4775390625,6619.07861328125
