name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chau Phu,2021-01-01,28,21.5,24.4,30.1,21.5,24.7,19.6,74.9,1.2,100,16.67,rain,,,,19.1,11.3,1012.3,60.5,11.8,150.6,13.2,5,,2021-01-01T06:17:06,2021-01-01T17:48:09,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48907099999,VVCT,48912599999,remote"
Chau Phu,2021-01-02,26.5,21,23.8,26.5,21,23.8,19.4,76.4,0.1,100,4.17,rain,,,,14.8,358.5,1011.8,77,11.2,127.4,10.9,6,,2021-01-02T06:17:29,2021-01-02T17:48:42,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-03,30,21.3,25.1,34.1,21.3,26.2,22.1,83.8,0.1,100,4.17,rain,,,,19.8,16.5,1011,61.7,10.8,205.9,17.7,7,,2021-01-03T06:17:52,2021-01-03T17:49:14,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999,remote"
Chau Phu,2021-01-04,30,23,26.2,35.1,23,28.2,23.6,86,4.8,100,12.5,rain,,,,12.2,35.7,1010.4,59.5,10.8,196.6,16.9,8,,2021-01-04T06:18:14,2021-01-04T17:49:47,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999,remote"
Chau Phu,2021-01-05,29,24,25.8,34.5,24,27.2,24.4,92,86,100,12.5,rain,,,,14.8,38,1011.1,86.5,10.4,184,15.9,7,,2021-01-05T06:18:36,2021-01-05T17:50:20,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-06,30,23.9,26.5,36.2,23.9,28.6,24.2,88.1,0.2,100,8.33,rain,,,,11.2,71.7,1010,59.2,10,215.9,18.6,8,,2021-01-06T06:18:56,2021-01-06T17:50:52,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-07,31,24,26.9,37.7,24,29.2,24.4,86.9,0,0,0,,,,,11.2,51.8,1009.6,58.4,11.2,230.1,19.8,9,,2021-01-07T06:19:16,2021-01-07T17:51:25,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-08,29,23,25.9,34.5,23,27.9,24.3,91.1,3,100,4.17,rain,,,,10.4,64.9,1009,65.3,9.6,236.6,20.4,8,,2021-01-08T06:19:35,2021-01-08T17:51:57,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999,remote"
Chau Phu,2021-01-09,29,23.9,25.4,32.7,23.9,26.1,22.8,86,0,0,0,,,,,11.2,25.9,1010.3,59,10.6,248.3,21.3,9,,2021-01-09T06:19:53,2021-01-09T17:52:29,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-10,28,21.9,24.8,31.3,21.9,25.5,21.9,84.7,0,0,0,,,,,9.4,22.4,1010.8,62.7,11.4,233.1,20.1,8,,2021-01-10T06:20:10,2021-01-10T17:53:01,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-11,29,21,24.9,32.7,21,25.9,22.3,86.3,0,0,0,,,,,9.9,28,1011.7,45.8,10.4,245.2,21,9,,2021-01-11T06:20:26,2021-01-11T17:53:33,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-12,27,20.8,23.5,28.2,20.8,23.6,19.3,78.5,0,0,0,,,,,28.4,6.8,1012.6,44.5,11,250,21.6,9,,2021-01-12T06:20:41,2021-01-12T17:54:05,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999,remote"
Chau Phu,2021-01-13,27,18.9,22.2,28.2,18.9,22.3,18.4,79.5,0,0,0,,,,,13,342.5,1013,47.3,10.6,261,22.3,9,,2021-01-13T06:20:56,2021-01-13T17:54:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-14,28,19.6,23.3,29.7,19.6,23.7,19.3,79.1,0,0,0,,,,,10.8,43.4,1012.1,49.5,10.4,238.6,20.6,8,,2021-01-14T06:21:09,2021-01-14T17:55:07,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999,remote"
Chau Phu,2021-01-15,29,20,24.2,32,20,25,21.1,83.7,0,0,0,,,,,16.6,108.5,1010.7,37.7,10.2,251.7,21.7,9,,2021-01-15T06:21:22,2021-01-15T17:55:38,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-16,29,20,24.6,32,20,25.7,21.9,86.4,0,0,0,,,,,11.2,105.5,1010.9,37.7,10.4,255.1,22.1,9,,2021-01-16T06:21:33,2021-01-16T17:56:08,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-17,29,22,25.3,32,22,26.2,22.4,85.3,0,0,0,,,,,14.8,64.3,1012,29.4,10.1,250.8,21.7,9,,2021-01-17T06:21:43,2021-01-17T17:56:38,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Chau Phu,2021-01-18,28,20,23.7,29.2,20,24.1,19.9,80.4,0,0,0,,,,,19.4,29.2,1012.6,35.4,11.3,265.6,23.1,9,,2021-01-18T06:21:53,2021-01-18T17:57:07,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"48907099999,VVCT,48912599999,remote"
Chau Phu,2021-01-19,27,20.6,23,28.5,20.6,23.1,19.7,83.1,0,0,0,,,,,9.4,354,1012.4,48.7,9.6,203,17.6,7,,2021-01-19T06:22:01,2021-01-19T17:57:37,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
